Episode,Total_Reward
1,85
2,45
3,160
4,65
5,5
6,125
7,5
8,65
9,105
10,160
11,135
12,165
13,105
14,120
15,25
16,0
17,110
18,0
19,135
20,95
21,0
22,200
23,75
24,45
25,85
26,130
27,110
28,20
29,285
30,140
31,105
32,55
33,50
34,130
35,0
36,70
37,145
38,100
39,20
40,180
41,105
42,155
43,40
44,110
45,75
46,25
47,85
48,70
49,60
50,120
51,55
52,240
53,55
54,135
55,115
56,80
57,5
58,215
59,40
60,185
61,70
62,90
63,250
64,85
65,115
66,10
67,80
68,5
69,45
70,125
71,85
72,125
73,40
74,170
75,130
76,180
77,125
78,0
79,100
80,130
81,160
82,60
83,80
84,55
85,5
86,0
87,45
88,155
89,105
90,30
91,150
92,160
93,75
94,155
95,140
96,75
97,150
98,180
99,0
100,0
101,120
102,0
103,40
104,0
105,175
106,85
107,20
108,100
109,65
110,55
111,175
112,175
113,40
114,70
115,100
116,195
117,70
118,105
119,20
120,65
121,40
122,130
123,75
124,180
125,85
126,135
127,185
128,190
129,225
130,100
131,130
132,155
133,45
134,135
135,295
136,55
137,160
138,90
139,265
140,190
141,165
142,30
143,100
144,90
145,115
146,180
147,70
148,80
149,150
150,110
151,140
152,265
153,170
154,70
155,115
156,95
157,240
158,145
159,60
160,0
161,140
162,150
163,30
164,40
165,160
166,170
167,170
168,150
169,340
170,190
171,190
172,65
173,125
174,65
175,20
176,295
177,290
178,115
179,320
180,5
181,295
182,0
183,130
184,170
185,115
186,180
187,70
188,150
189,130
190,100
191,285
192,205
193,210
194,170
195,290
196,395
197,290
198,50
199,280
200,350
201,220
202,190
203,225
204,205
205,30
206,60
207,180
208,150
209,50
210,250
211,145
212,280
213,160
214,90
215,150
216,205
217,165
218,65
219,0
220,130
221,85
222,125
223,350
224,345
225,280
226,170
227,165
228,55
229,205
230,125
231,225
232,165
233,150
234,300
235,155
236,180
237,210
238,20
239,255
240,45
241,25
242,15
243,320
244,155
245,80
246,290
247,130
248,85
249,130
250,160
251,175
252,235
253,310
254,175
255,365
256,260
257,175
258,175
259,225
260,150
261,265
262,70
263,130
264,265
265,75
266,85
267,130
268,170
269,300
270,315
271,205
272,145
273,45
274,160
275,70
276,290
277,85
278,0
279,0
280,510
281,185
282,375
283,150
284,75
285,55
286,365
287,90
288,90
289,335
290,290
291,255
292,75
293,245
294,75
295,95
296,180
297,330
298,15
299,240
300,235
301,70
302,425
303,265
304,220
305,40
306,360
307,275
308,185
309,310
310,225
311,125
312,250
313,290
314,530
315,235
316,150
317,395
318,355
319,220
320,35
321,150
322,180
323,105
324,245
325,135
326,70
327,150
328,20
329,245
330,185
331,120
332,160
333,320
334,250
335,25
336,65
337,185
338,160
339,190
340,140
341,165
342,165
343,35
344,165
345,55
346,240
347,30
348,80
349,230
350,150
351,135
352,160
353,50
354,155
355,165
356,185
357,35
358,120
359,145
360,80
361,120
362,80
363,35
364,135
365,175
366,175
367,225
368,100
369,160
370,315
371,220
372,155
373,45
374,200
375,140
376,40
377,0
378,150
379,80
380,245
381,230
382,65
383,190
384,0
385,90
386,75
387,0
388,20
389,260
390,90
391,55
392,50
393,125
394,150
395,190
396,5
397,140
398,150
399,75
400,150
401,80
402,5
403,170
404,240
405,45
406,100
407,165
408,190
409,295
410,265
411,30
412,60
413,150
414,80
415,25
416,10
417,115
418,50
419,0
420,75
421,90
422,75
423,70
424,140
425,290
426,40
427,265
428,180
429,100
430,70
431,165
432,20
433,200
434,260
435,0
436,200
437,175
438,145
439,135
440,115
441,130
442,190
443,165
444,275
445,65
446,125
447,105
448,85
449,200
450,170
451,265
452,240
453,390
454,265
455,175
456,145
457,105
458,0
459,60
460,65
461,100
462,160
463,220
464,200
465,130
466,190
467,155
468,135
469,220
470,280
471,115
472,70
473,135
474,90
475,175
476,160
477,90
478,95
479,155
480,65
481,185
482,205
483,255
484,215
485,130
486,260
487,150
488,175
489,255
490,45
491,0
492,185
493,115
494,165
495,95
496,210
497,130
498,145
499,235
500,100
501,125
502,255
503,210
504,225
505,185
506,0
507,70
508,310
509,250
510,215
511,160
512,220
513,65
514,100
515,390
516,0
517,180
518,220
519,145
520,80
521,320
522,110
523,250
524,65
525,150
526,75
527,80
528,150
529,230
530,310
531,180
532,65
533,135
534,160
535,155
536,0
537,135
538,275
539,15
540,285
541,305
542,180
543,110
544,60
545,170
546,255
547,145
548,90
549,150
550,75
551,195
552,175
553,140
554,0
555,145
556,95
557,215
558,115
559,150
560,55
561,90
562,95
563,85
564,55
565,115
566,25
567,85
568,70
569,120
570,0
571,55
572,160
573,135
574,85
575,160
576,120
577,85
